ID,language,macroarea,glottocode,ISO6393,Latitude,Longitude,level,category,subclassification,aes,med,medovertime,bib,classification,family
meng1263,Mengisa,Africa,meng1263,mct,4.5932,11.3947,dialect,Dialect,meng1263:1;,2,4,"[""Dugast, Idelette. 1949. Inventaire ethnique du sud-Cameroun. (Mémoires de l'IFAN (Inst. Français de l'Afrique Noire), série 'populations', 1.) Mem. Inst. Franc. Afr. Noire, Cent. Cameroun, Ser. Pop. Dakar: IFAN. xii+159pp.""]",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/eton1253,Atlantic-Congo
iton1251,Iton Ngke,Africa,iton1251,NA,4.21045,11.3935,dialect,Dialect,iton1251:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/eton1253,Atlantic-Congo
ewon1239,Ewondo,Africa,ewon1239,ewo,4.21141,11.93646,language,Spoken_L1_Language,"(badj1245:1,bafe1238:1,bamv1238:1,bane1246:1,beti1249:1,enoa1238:1,evou1238:1,fong1242:1,mbid1238:1,mvet1238:1,mvog1242:1,omva1238:1,yabe1252:1,yabe1251:1,yabe1253:1)ewon1239:1;",1,0,"[""Essono, Jean-Jacques [Marie]. 1993. Description synchronique de l'ewondo (bantou A72a du Cameroun): phonologie, morphologie, syntaxe. Université de la Sorbonne Nouvelle (Paris 3) dissertation. (911pp.)"", ""Nekes, P. Hermann. 1911. Lehrbuch der Jaunde-Sprache. (Lehrbücher des Seminars für orientalische Sprachen zu Berlin, 26.) Mit einem Anhang, 'Übungs- und Wörterbuch mit genauer Tonstranskription' von H. Nekes und W. Planert edn. Berlin: Druck und Verlag von Georg Reimer. 332pp."", 'Haarpaintner, Max. 1909. Grammatik der Yaundesprache. Anthropos 4. 684-701, 919-930.', 'Meinhof, Carl. 1895. Die Sprachverhältnisse in Kamerun. Zeitschrift für afrikanische und oceanische Sprachen I(2). 138-163.']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/ewon1241,Atlantic-Congo
bebi1242,Bebil,Africa,bebi1242,bxp,4.86672,13.3848,language,Spoken_L1_Language,bebi1242:1;,1,3,"['Nguetse Mezatio, Hermine. 2003. Phonologie du Bəbil. Université de Yaoundé MA thesis. (130pp.)', 'Guthrie, Malcolm. 1953. The Bantu Languages of Western Equatorial Africa. (Handbook of African Languages, 3.) London / New York / Toronto: Oxford: Oxford University Press. 94pp.', ""Dugast, Idelette. 1949. Inventaire ethnique du sud-Cameroun. (Mémoires de l'IFAN (Inst. Français de l'Afrique Noire), série 'populations', 1.) Mem. Inst. Franc. Afr. Noire, Cent. Cameroun, Ser. Pop. Dakar: IFAN. xii+159pp.""]",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/ewon1241,Atlantic-Congo
bebe1248,Bebele,Africa,bebe1248,beb,4.78874,12.824,language,Spoken_L1_Language,"(ekii1242:1,many1260:1)bebe1248:1;",2,1,"['Djomeni, Gabriel Delmon. 2014. A descriptive grammar of Bə̀mbələ̀. (Languages of the World/Materials, 502.) München: LINCOM Europa. 211pp.', 'Djomeni, Gabriel Delmon. 2012. Description, orthography design, immersion approach and pedagogical. Université de Yaoundé dissertation.', 'Djomeni, Gabriel Delmon. 2007. Morphosyntax du nominal en Bə̀mbələ̀. Université de Yaoundé I MA thesis. (211pp.)', 'Guarisma, Gladys & Christiane Paulian. 1986. Dialectométrie lexicale de quelques parlers bantous de la zone A. In Guarisma, Gladys and Möhlig, Wilhelm Johann Georg (eds.), La méthode dialectométrique appliquée aux langues africaines, 93-176. Berlin: Dietrich Reimer Verlag.', 'Williamson, Kay. 1973. Benue-Congo Comparative Wordlist. (II.) University of Ibadan, Nigeria: West African Linguistic Society. cv+234-473pp.', 'Williamson, Kay & Kiyoshi Shimizu. 1968. Benue-Congo Comparative Wordlist. (I.) In  Williamson, Kay and Shimizu, Kiyoshi (eds.) University of Ibadan, Nigeria: West African Linguistic Society. 233pp.', ""Alexandre, Pierre. 1965. Proto-histoire du groupe beti-bulu-fang: essai de synthèse provisoire. Cahiers d'études africaines 5(20). 503-560."", 'Jacquot, André & Irvine Richardson. 1956. Report of the Western Team: Atlantic Coast to Oubangi. In Malcolm Guthrie and Tucker, Archibald N. (eds.), Linguistic Survey of the Northern Bantu Borderland, 9-62. Oxford: Oxford University Press.', ""Dugast, Idelette. 1949. Inventaire ethnique du sud-Cameroun. (Mémoires de l'IFAN (Inst. Français de l'Afrique Noire), série 'populations', 1.) Mem. Inst. Franc. Afr. Noire, Cent. Cameroun, Ser. Pop. Dakar: IFAN. xii+159pp.""]",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/ewon1241,Atlantic-Congo
ntum1238,Ntum,Africa,ntum1238,NA,1.723965,11.61454,dialect,Dialect,ntum1238:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/fang1246,Atlantic-Congo
make1249,Make,Africa,make1249,NA,1.723965,11.61454,dialect,Dialect,make1249:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/fang1246,Atlantic-Congo
fang1247,Fang,Africa,fang1247,NA,1.723965,11.61454,dialect,Dialect,fang1247:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/fang1246,Atlantic-Congo
mvae1238,Mvae,Africa,mvae1238,NA,1.723965,11.61454,dialect,Dialect,mvae1238:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/fang1246,Atlantic-Congo
ogow1238,Ogowe,Africa,ogow1238,NA,1.723965,11.61454,dialect,Dialect,ogow1238:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/fang1246,Atlantic-Congo
bene1244,Bene,Africa,bene1244,NA,3.16141,11.6365,dialect,Dialect,bene1244:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/bulu1251,Atlantic-Congo
yeli1239,Yelinda,Africa,yeli1239,NA,3.16141,11.6365,dialect,Dialect,yeli1239:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/bulu1251,Atlantic-Congo
yemb1245,Yembana,Africa,yemb1245,NA,3.16141,11.6365,dialect,Dialect,yemb1245:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/bulu1251,Atlantic-Congo
zama1238,Zaman,Africa,zama1238,NA,3.16141,11.6365,dialect,Dialect,zama1238:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/bulu1251,Atlantic-Congo
yeng1244,Yengono,Africa,yeng1244,NA,3.16141,11.6365,dialect,Dialect,yeng1244:1;,NA,NA,NA,NA,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1292/yaun1239/bulu1251,Atlantic-Congo
lefa1242,Lefa,Africa,lefa1242,lfa,5.05845,11.114,language,Spoken_L1_Language,"(cama1249:1,leti1244:1,nucl1404:1,ting1251:1)lefa1242:1;",1,3,"['Isaac, Kendall M. 2014. Noun Classes in Lefa (ALACAM 581). Yaoundé: SIL. 18pp.', 'Limnyuy, Frida Kong. 2000. The lexical phonology of Bàlòng. xi+126pp.', ""Kamgais Wabo, Annie Michèle. 1997. Esquisse phonologique du lefa'. Université de Yaoundé I MA thesis. (136pp.)"", 'Guarisma, Gladys & Christiane Paulian. 1986. Dialectométrie lexicale de quelques parlers bantous de la zone A. In Guarisma, Gladys and Möhlig, Wilhelm Johann Georg (eds.), La méthode dialectométrique appliquée aux langues africaines, 93-176. Berlin: Dietrich Reimer Verlag.', 'Dugast, Idelette. 1954. The Banen, Bafia and Balom of the French Cameroons. In McCulloch, Merran and Littlewood, Margaret and Dugast, Idelette (eds.), Peoples of the central Cameroons, 132-167. London: International African Inst. (IAI).', 'Thorbecke, F. 1913. Eine neue Zwergrasse. Deutsche Kolonialzeitung, N.F. 11. 176-178.']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/bafi1244/nucl1740/lefa1243,Atlantic-Congo
bafi1243,Bafia,Africa,bafi1243,ksf,4.72603,11.0982,language,Spoken_L1_Language,"(bape1238:1,kpaa1242:1)bafi1243:1;",1,0,"[""Guarisma, Gladys. 2000. Complexité morphologique - simplicité syntaxique, le cas du bafia, langue bantoue périphérique (A50) du Cameroun. (Société d'Études Linguistiques et Anthropologiques de France, 379.) Paris: Peeters. 383pp."", 'Guarisma Pupineau, Gladys. 1992. Le Bafia, langue Bantoue (A53) du Cameroun. Université de Paris V - René Descartes dissertation. (371pp.)', ""Guarisma, Gladys. 1973. Le Nom en Bafia. (Société d'Études Linguistiques et Anthropologiques de France, 35-36-37.) Paris: Centre National de la Récherche Sciéntifique. 254pp."", 'Anderson, Llewellyn K. 1935. The Bafia language: a preliminary statement. Princeton University dissertation. (234pp.)', 'Tessmann, Günther. 1934. Die Bafia und die Kultur der Mittelkamerun-Bantu. (Ergebnisse der 1913 vom Reichs-kolonialamt ausgesandten völkerkundlichen Forschungsreise nach Kamerun, 1.) Stuttgart: Strecker & Schröder. xi+269pp.', 'Dominik, H. 1905. Die Bapea-Expedition. Deutsches Kolonialblatt 16. 526-533.']",True,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/bafi1244/nucl1740/lefa1243,Atlantic-Congo
