lang_id,ISO6393,words,completeness,language,macroarea,family,ONE,TWO,PERSON,FISH,DOG,LOUSE,TREE,LEAF,SKIN,BLOOD,BONE,HORN (ANATOMY),EAR,EYE,NOSE,TOOTH,TONGUE,KNEE,BREAST,LIVER,DRINK,SEE,HEAR,DIE,COME,STAR,WATER,STONE,FIRE,PATH,MOUNTAIN,NIGHT,FULL,NEW,NAME,SUN,HAND,I,THOU,WE
BELARUSIAN,bel,40,100,Belarusian,Eurasia,Indo-European,acin,dva,CaLavEk,riba,sabaka,voS,drEva,list,skura,krou,koSC,roh,vuxa,voka,nos,zub,yazik,kalEna,hruci,pECa5,piC,baCiC,CuC,pamiraC,prixociC,zorka,vada,kamE5,aho5,daroha,hara,noC,pouni,novi,ima,sonca,daLo5,ya,ti,mi
BENGALI,ben,40,100,Bengali,Eurasia,Indo-European,ek,dui,manuS,maC,kukur,ukun,gaC,pata,Camra,rokto,hari,SiN,kan,Cok,nak,dat,jib,hatu,buk,kolje,pan,dek,Son,mor,aS,tara,pani,pator,agun,rasta,pahar,ratro,bora,notun,nam,Surjo,hat,ami,tumi,amra
BETAWI,bew,26,65,Betawi,Papunesia,Austronesian,satu,dua,oraN,ikan,NA,kutu,puhun,NA,kulit,darE,NA,tanduk,NA,sosok,NA,NA,NA,NA,tEtE7,NA,minum,liat,d3N3r,mati,dat3N,NA,aEr,NA,api,NA,gunuN,mal3m,NA,baru,nama,NA,taNan,anE,3lu,kita
BHOIPURI,bho,29,72.5,Bhojpuri,Eurasia,Indo-European,ek,dui,NA,NA,kukura,NA,ruk,pat,bokola,NA,har,sig,kan,aki,nak,dat,jibi,NA,NA,NA,pi,dek,sun,muwal,NA,naCattar,pani,patal,agi,bat,NA,rati,NA,NA,nam,suruj,hat,me,tu,hama
BISLAMA,bis,36,90,Bislama,Papunesia,Indo-European,wan,tu,man,fis,dog,kuti,wud,lif,skin,blad,bun,NA,sore,NA,nus,tut,taN,NA,titi,NA,driN,lasiri,harem,ded,kam,sita,wota,ston,faya,rod,hil,nat,ful,5u,nem,san,han,mi,yu,yumi
BANJARESE_MALAY,bjn,34,85,Banjar,Papunesia,Austronesian,asa,dua,uraN,iwak,hadupan,kutu,NA,daun,kulit,darah,tulaN,NA,taliNa,mata,hiduN,gigi,ilat,NA,susu,hati,Ninum,lihat,manaNar,mati,dataN,bintaN,ba5u,batu,api,jalan,NA,malam,NA,ha5ar,Naran,NA,taNan,aku,bubuhan,kita
KAREN_PAO,blk,39,97.5,Pa'o Karen,Eurasia,Sino-Tibetan,lo t3,lo vaN ni,lou,ta7 pe,ti,loN,seN m3,a la,a pi,swi,a cut,noN,na la,ma7,bay,t3 Na,pre,kaN leN,NA,a so3n,ua7,ti,x3n,si,lon,ca,ti,louN,me,klay,koN,m3 ke7,boy,t3 sa,min,m3,cu,ki,na,ni
LHASA_TIBETAN,bod,40,100,Tibetan,Eurasia,Sino-Tibetan,Ci,5i,mi,5a,Ti,Si,SiNtuN,loma,pakpa,Ca,rip3,rako,amCo,mi,n3ku,so,Ce,pimu,oma,Cip3,tuN,ta,5E,Si,yoN,kama,Cu,to,me,lam,ri,cEmo,kaNpa,sapa,miN,5im3,lakpa,Na,TeraN,Naco
BOSNIAN,bos,40,100,Bosnian Standard,Eurasia,Indo-European,yedan,dva,osoba,riba,pas,vaS,drvo,list,koZa,krv,kost,rog,uho,oko,nos,zub,yezik,kolyeno,grudi,yetra,piti,vidyeti,uti,umriyeti,doCi,zviyezda,voda,kamen,vatra,cesta,planina,noC,pun,nov,ime,sunce,Saka,ya,ti,mi
BISHNUPURIYA,bpy,36,90,Bishnupriya Manipuri,Eurasia,Indo-European,ek,dui,manu,maC,kukur,NA,gaC,pata,Camra,rokot,ar,hiN,kan,ahi,nak,dat,ju,atu,NA,NA,pani pEna,dEhani,hunani,NA,aha,tara,pani,hil,ji,pot,tENNara,rati,bujani,nua,naN,bEli,at,mi,ti,ami
BRETON,bre,40,100,Breton,Eurasia,Indo-European,inan,dau,dEn,pEsk,ki,lau,gEzEn,dElien,kroxEn,gad,askorn,korn,skuarn,lagad,fri,dant,ted,glin,bron,avu,Evo,gElEt,klEvEt,mErvEl,dont,stErEdEn,dur,men,tan,hEnt,mEnEz,noz,len,nEvEz,anv,hel,dorn,mE,tE,ni
